Product,ProductId,SkuId,SkuTitle,Segment,Currency,ListPrice,Msrp,Effective Date,Regions
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,EUR,44.20,52,17/03/2021,AD
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,AG
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,AI
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,AQ
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,47.60,56,17/03/2021,AR
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,NZD,71.40,84,17/03/2021,AS
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,EUR,44.20,52,17/03/2021,AT
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,AUD,60.35,71,17/03/2021,AU
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,AW
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,EUR,44.20,52,17/03/2021,AX
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,AZ
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,EUR,44.20,52,17/03/2021,BE
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,BF
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,EUR,44.20,52,17/03/2021,BG
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,BI
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,BJ
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,BL
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,BQ
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,USD,41.65,49,17/03/2021,BT
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,EUR,44.20,52,17/03/2021,BV
Windows 10 Pro,DF77X4D43RKT,48F5,Windows 10 Home to Pro Upgrade for Microsoft 365 Business,Commercial,CAD,55.25,65,17/03/2021,CA
